Artist,Title,ISRC,Spotify ID,Deezer ID,Youtube ID
Barbra Streisand,People (Album Version),USSM10001371,0AfseROXCjDFXudJKAH0Zc,848107,D8L-lrqm1vk
Tony Bennett,Who Can I Turn To (When Nobody Needs Me),USSM16400200,4miqq8y0rByS4rwatQLDS8,70595010,95dANDYwcms
Stan Getz,"The Girl From Ipanema (From Get Yourself A College Girl M-G-M, 1964)",UST1C0100224,3fZ1vLvzCB4iex1XuZuupd,7300941,8PYKOo_jgJo
Petula Clark,Downtown,FRZ196400510,4AK7JaKbg3LLVszqndBXOF,2244056,z_m4Qb0iW-o
The Beatles,I Want To Hold Your Hand,GBUM71505904,4pbG9SUmWIvsROVLF0zF9s,116348598,v1HDt1tknTc
Tony Bennett,The Shadow of Your Smile,USSM16500191,6KcKUWhMNmiPATFmc0TGMu,70595018,mP2ZaQ7Wq24
Connie Francis,I Will Wait For You,USUM71111269,56GQiDRzajap3E4LmuvjF6,56008851,Mi57d50pCUw
Frank Sinatra,The September Of My Years,USRH10800869,7aEqYB9fGCGtq8aYL6ugQU,70835102,oD87obuUgUk
The Beatles,Yesterday,GBAYE0601477,3BQHpFgAp4l80e1XslIjNI,116348164,fCV9oqtwyVA
Roger Miller,King Of The Road,USJGN0801107,3ddVMNawf9ti6vqFeZ6rQi,3629138,7HBQFjoqDYE
Herb Alpert & The Tijuana Brass,A Taste Of Honey,QM4221500056,6gJyJsLvGVCQane5HVV9rC,113577326,eFEqhlGWVXk
Ramsey Lewis Trio,"The ""In"" Crowd",USMC16546131,3PLeKRzAKM8fQBwFcsc1nE,906631,--3tyzPT7XA
The Beatles,Michelle,GBAYE0601485,5By7Pzgl6TMuVJG168VWzS,116348180,WoBLi5eE-wY
Andy Williams,Born Free,USSM10019604,6NpQDcFRSuBPGoyiEvxyBX,1080633,RZHaQ3C3xQo
Richard Kiley,The Impossible Dream,USUMC0400234,2hTSIHAcpi8OtOVu52uzRA,4276168,ViBxOEegiuU
Ray Conniff & The Singers,"Somewhere, My Love (Lara's Theme from ""Doctor Zhivago"") (Album Version)",USSM19916527,1IYn7ytdb8byvHKS7S3Cat,849869,1thos17eJ0c
Frank Sinatra,Strangers In The Night,USRH10800935,74VR3AkGPhbYXnxcOYa16x,70835195,h5h_EW4odWw
David Houston,Almost Persuaded,USG4X1600188,2Krnm3qWdy4VG5vTkT0cDn,129635316,RHpBMOrgvco
The Mamas & The Papas,"Monday, Monday",USMC16546367,3EFb1qDgIqf9MegIryKtDj,906555,gf6X_OZiOwk
Herb Alpert & The Tijuana Brass,What Now My Love,QM4221500186,5QlPl0Lak7dPF2PBpZcnyV,113576386,dKh-oGdBkAc
New Vaudeville Band,Winchester Cathedral,GBQRF0707128,55gmQUKsapiYVmiz4NyC0J,5735122,HKaSWDJyTLE
The 5th Dimension,"Up, Up and Away",USAR10001689,3JdToGxgvH9SnO1a605Ztr,2796100,2qdCuzjAGmA
Glen Campbell,By The Time I Get To Phoenix,USCN16700004,70j0WNzSnNVEu5GWtjdPVM,3156146,7y1hrOpVGKE
Ed Ames,My Cup Runneth Over,USRC10100371,40BvPdq2rwYIoioUgjKHoK,959830,xvaQisHV8jw
Bobbie Gentry,Ode To Billie Joe,USCN18900028,4FdDorlbJTVHcH3djLbIfn,3102672,-_E3UIeZUCs
Glen Campbell,Gentle On My Mind,USCN18700047,4qqp9sYSXzTAGfCIdgVYWI,3156147,mfMnNqn-hKg
Frank Sinatra,Somethin' Stupid (Album Version),USRH10800988,4feXcsElKIVsGwkbnTHAfV,71068126,0f48fpoSEPU
