,trackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
47,1yTQ39my3MoNROlFw3RDNy,0.726,0.679,1,-6.219,1,0.0473,0.0149,1.49e-06,0.0837,0.751,107.02,235973
48,4Fpsa3pYc3gozrxHRRPvR6,0.561,0.909,3,-7.878,1,0.0312,0.00118,0.46,0.0713,0.71,127.172,320693
49,2VEsmoek0sol9MnJFyoG9e,0.667,0.954,2,-3.462,1,0.0817,0.0296,0.0,0.331,0.807,114.0,175093
50,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
51,53bkiHHQwVDFqMYVYGHVay,0.85,0.48,3,-10.404,1,0.1,0.000656,0.865,0.0922,0.37,129.995,217387
52,6b8Be6ljOzmkOmFslEb23P,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,225983
53,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
54,2trCMldHwQTC80aIBbV4di,0.678,0.812,6,-9.827,0,0.0383,0.345,0.868,0.116,0.892,133.993,198351
55,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
56,6ayyzu6smOchwXO1vxwfn6,0.787,0.86,1,-4.974,1,0.0344,0.364,0.041,0.0612,0.862,109.154,214933
57,36AWdhZIGLUTkWpJDhe7va,0.646,0.665,6,-7.878,1,0.0268,0.326,1.97e-05,0.238,0.7,143.966,241027
58,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
59,3DrjZArsPsoqbLzUZZV1Id,0.529,0.67,2,-4.663,1,0.0303,0.117,0.0,0.334,0.286,141.893,293027
60,1RvQQGwaPipiNgz8RXAKA8,0.602,0.896,1,-4.267,0,0.0437,0.0773,8.87e-05,0.091,0.641,124.978,220827
61,5ka2ajep9OAvU5Sgduhiex,0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.143,0.738,139.945,212333
62,4nVBt6MZDDP6tRVdQTgxJg,0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,0.286,121.07,245493
63,1z3Q0Vv26kdsSc8KshjNWX,0.691,0.867,8,-4.448,1,0.043,0.0367,0.00119,0.361,0.192,150.042,224680
64,17Q87zeXgsAi9iQQbMu9v0,0.594,0.46,1,-7.607,1,0.382,0.00354,2.71e-05,0.147,0.0541,146.274,202451
65,6PCUP3dWmTjcTtXY02oFdT,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154
66,2UciqgwVDwro0fev3MFbxJ,0.719,0.497,8,-7.661,1,0.681,0.115,0.0,0.0898,0.345,81.651,216727
67,0gsl92EMIScPGV1AU35nuD,0.344,0.325,11,-10.005,0,0.0287,0.348,0.0239,0.0686,0.0773,118.556,312307
68,2RSOzvKUnfDDrb2nQPfpQU,0.81,0.957,1,-6.049,0,0.0364,0.0165,0.284,0.248,0.962,129.985,197773
69,11FLXIjJOGzx7H0n1bu5wz,0.709,0.65,7,-7.371,1,0.273,0.251,2.32e-05,0.0731,0.543,176.141,295720
70,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
71,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
72,0L4YCNRfXAoTvdpWeH2RGj,0.53,0.526,7,-8.349,1,0.0263,0.199,3.52e-06,0.232,0.323,79.025,237613
73,6or1bKJiZ06IlK0vFvY75k,0.708,0.843,7,-2.66,1,0.314,0.397,0.0,0.799,0.625,148.14,363521
74,6I6NX6tjGsxFAsIfGzY9lJ,0.657,0.421,9,-11.378,1,0.412,0.352,0.000218,0.187,0.181,174.063,264747
75,15vzANxN8G9wWfwAJLLMCg,0.646,0.644,2,-6.763,1,0.031,0.0243,0.0,0.0888,0.251,99.999,221520
76,4haJoBPbPj9QFKNpp9e8kx,0.654,0.839,9,-5.076,0,0.443,0.00531,0.0,0.308,0.549,74.886,255867
77,77UjLW8j5UAGAGVGhR5oUK,0.735,0.677,2,-4.979,1,0.093,0.0762,2.17e-05,0.111,0.188,100.584,211440
78,7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,231267
79,2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088
80,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280
81,4mOxpj82q6n3EO7HBZCelX,0.554,0.58,11,-8.05,0,0.0322,0.344,0.00842,0.0989,0.402,167.83,264200
82,7clUVcSOtkNWa58Gw5RfD4,0.523,0.898,11,-6.765,0,0.0567,0.00491,0.0345,0.0746,0.355,123.085,287907
83,2r6DdaSbkbwoPzuK6NjLPn,0.63,0.91,11,-2.919,0,0.144,0.0287,0.0,0.196,0.743,116.98,168213
84,1nYWTzy5zu3zEPNgB1sItW,0.709,0.599,7,-3.734,1,0.0304,0.095,0.0,0.0973,0.735,118.975,240760
85,2Igc5kWSzeztCCZInea9Mf,0.493,0.362,2,-9.56,1,0.0384,0.74,0.0,0.0966,0.65,129.739,225347
86,6VObnIkLVruX4UVyxWhlqm,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,286480
87,2iuZJX9X9P0GKaE93xcPjk,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493
88,3KbFtYPyVP6C7BQVgH2cCf,0.561,0.245,1,-6.372,1,0.0344,0.904,0.0,0.0933,0.402,109.558,212280
89,5mCPDVBb16L4XQwDdbRUpz,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941
90,7wBJfHzpfI3032CSD7CE2m,0.487,0.789,8,-3.69,1,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,270715
91,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
92,4GKF1laLsum1l6VftsujhQ,0.575,0.537,10,-10.493,0,0.031,0.81,0.825,0.0903,0.342,190.019,213400
93,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
94,6BQNJ0JFKh8sWjQLI6Zudi,0.721,0.558,9,-8.8,1,0.0246,0.492,0.00563,0.113,0.542,96.887,234867
95,0JiY190vktuhSGN6aqJdrt,0.534,0.87,11,-3.078,0,0.0425,0.000329,0.0,0.241,0.462,126.019,215160
96,0SiywuOBRcynK0uKGWdCnn,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,294573
97,6VFkA8jKGvY8XK5EdJjTkD,0.411,0.805,2,-3.052,1,0.323,0.0387,0.0,0.361,0.3,71.641,245101
98,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
99,1oHNvJVbFkexQc0BpQp7Y4,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,210627
100,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
101,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
102,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
103,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
104,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,158040
105,3IrhUrZKAkJ8LsFtH71fOT,0.581,0.825,4,-9.689,0,0.0373,0.000859,0.095,0.11,0.663,120.362,318667
106,4SCnjFSNQ56BmeamHqcOMA,0.549,0.847,0,-3.918,1,0.0462,0.047,4.66e-06,0.19,0.765,164.147,364173
107,1yACRKAwlXWhXXFUSkvzhD,0.541,0.77,5,-4.17,1,0.0354,0.00408,0.0,0.117,0.215,96.013,280240
108,4B3RmT3cGvh8By3WY9pbIx,0.573,0.581,7,-3.325,1,0.0276,0.148,0.0,0.128,0.188,103.82,221293
109,3NLnwwAQbbFKcEcV8hDItk,0.647,0.823,2,-5.231,1,0.0762,0.0598,0.0,0.119,0.396,99.933,230333
110,7l94dyN2hX9c6wWcZQuOGJ,0.662,0.602,4,-5.369,0,0.0401,0.0529,0.0,0.356,0.29,133.969,235947
111,5frMgt4jqRGJk3yMKfqOyl,0.375,0.694,8,-7.334,1,0.031,0.0458,0.019,0.257,0.405,175.726,234053
112,1C9CSFviMwp3kyZHmV09ed,0.302,0.619,0,-4.812,1,0.0331,0.0228,0.0,0.231,0.291,156.359,205013
113,5iYUt3rsgrGFU0nugdhYwj,0.64,0.896,6,-3.221,0,0.0789,0.275,0.0,0.147,0.751,123.071,207947
114,28GUjBGqZVcAV4PHSYzkj2,0.66,0.9,7,-5.02,1,0.14,0.0403,0.0,0.219,0.591,85.51,213253
115,6twW4ma6w0mOeejejPK0nY,0.549,0.868,2,-4.319,1,0.0614,0.0604,0.0,0.137,0.755,171.96,184667
116,5CXnIPD6rTjszYYQm6fY2P,0.547,0.878,2,-4.224,1,0.0451,0.0638,7.08e-06,0.106,0.592,121.973,230587
117,0lnIJmgcUpEpe4AZACjayW,0.775,0.598,2,-7.274,1,0.0535,0.00175,4.44e-06,0.253,0.356,129.988,232560
118,1CwNogTShsnsn1C8UhRmYX,0.553,0.639,11,-6.445,1,0.0458,0.0468,0.0,0.107,0.442,101.418,203475
119,3fpVWegR6YOS1Yk5HSMYIq,0.625,0.536,0,-5.428,1,0.0776,0.038,2.31e-05,0.167,0.253,159.914,221787
120,3U21A07gAloCc4P7J8rxcn,0.925,0.31,11,-6.531,0,0.291,0.123,0.0,0.0931,0.291,121.927,145507
121,4Ok9BdDyaENoy4JJy3GZcW,0.445,0.62,5,-11.233,0,0.0352,0.161,0.921,0.163,0.0398,180.768,193891
122,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040
123,2W2vmNmTLERMWT9XBxm35E,0.719,0.631,6,-7.411,1,0.0451,0.0235,0.702,0.0686,0.456,80.127,254560
124,2UORsaluUZXiMvkkkedDTJ,0.43,0.203,8,-10.425,1,0.0369,0.863,4.71e-06,0.106,0.105,119.884,210333
125,5BkHkyO9PFXs1m7vSMnXp4,0.458,0.751,2,-8.395,1,0.469,0.0299,0.000155,0.258,0.48,169.673,203347
126,5bK8moEKs0I2DiMOqUik6R,0.706,0.663,7,-10.274,1,0.0343,0.0522,0.845,0.102,0.479,93.004,182581
127,0HdQ1ziXFCx0B1q7ZRa4PL,0.591,0.847,1,-8.262,0,0.0541,0.0262,0.776,0.0597,0.233,174.022,341304
128,2o5mwv7hvas1jdUg14Nihv,0.472,0.866,2,-3.771,1,0.0413,0.044,0.0,0.213,0.775,163.867,187613
129,2iJuuzV8P9Yz0VSurttIV5,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033,283400
130,5HJqpDspKDKwQpLjvkcIsD,0.681,0.795,6,-6.652,1,0.049,0.305,9.41e-06,0.109,0.64,135.939,219160
131,57iDDD9N9tTWe75x6qhStw,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,357267
132,3hAaCXvutknQugsPFogh8H,0.55,0.702,11,-5.693,0,0.0281,0.046,1.4e-06,0.119,0.515,159.968,172486
133,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
134,1EQn3Uc5AyUXoiPLeyCrrg,0.608,0.569,0,-7.227,1,0.0284,0.537,0.0,0.097,0.238,159.845,237920
135,7EQGXaVSyEDsCWKmUcfpLk,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,211920
136,5zyCYmiaVE5y26EZuwZbsw,0.588,0.825,4,-5.882,1,0.0328,0.000197,0.00138,0.0885,0.397,129.968,295187
137,2QAL4zoAZxY343KsjuS6dG,0.647,0.624,6,-11.111,0,0.048,0.199,0.631,0.143,0.0589,97.499,234214
138,2Bs4jQEGMycglOfWPBqrVG,0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217,228133
139,0B08s1tLWCXoFmGP0vIubM,0.698,0.783,2,-6.503,1,0.266,0.016,0.0,0.176,0.378,160.034,264853
140,63TyoT9Ee03rQxv8xmdJ2l,0.895,0.839,0,-4.512,1,0.227,0.217,3e-06,0.239,0.756,149.951,286117
141,6zegtH6XXd2PDPLvy1Y0n2,0.644,0.755,1,-5.325,1,0.0448,0.00237,7.64e-06,0.0859,0.334,102.861,190067
142,29rQJydAlO0uMyWvRIZxQg,0.703,0.7,5,-6.789,1,0.0693,0.302,0.471,0.0718,0.582,97.675,265107
