Performer,songs,numSong,len_weeks,year_min,year_max,len_year_different,year_space,top1,top5,top10,is_featuring
The Everly Brothers,"[""That's Old Fashioned (That's The Way Love Should Be)"" 'Devoted To You'
 ""('til) I Kissed You"" 'Take A Message To Mary' 'Poor Jenny'
 'So Sad (To Watch Good Love Go Bad)' 'All I Have To Do Is Dream'
 'Problems' ""Always It's You"" 'Bird Dog' ""Cathy's Clown"" ""Don't Blame Me""
 'Bowling Green' 'Crying In The Rain' 'Be Bop A-Lula' 'Lucille'
 'Ebony Eyes' 'Let It Be Me' ""I'm Here To Get My Baby Out Of Jail""
 'Love Of My Life' 'Muskrat' 'On The Wings Of A Nightingale'
 'Like Strangers' 'How Can I Meet Her?' 'The Ferris Wheel'
 ""Don't Ask Me To Be Friends"" 'Temptation' 'Stick With Me Baby'
 'Gone, Gone, Gone' 'When Will I Be Loved' 'Walk Right Back']",31,309,1958,1984,8,27,5,28,60,False
LL Cool J,"['Doin It' 'Phenomenon' 'Around The Way Girl' 'Back Seat (Of My Jeep)'
 'Ain\'t Nobody (From ""Beavis And Butt-Head Do America"")' 'Father'
 'Hey Lover' 'I Need Love' ""How I'm Comin'"" ""The Boomin' System""
 'Mama Said Knock You Out' 'Going Back To Cali (From ""Less Than Zero"")'
 'Loungin' ""I'm Bad"" 'Headsprung' 'Luv U Better' ""I'm That Type Of Guy""
 '6 Minutes Of Pleasure' 'Imagine That']",19,271,1987,2004,14,18,0,19,36,False
Evanescence,"[""Call Me When You're Sober"" 'My Immortal' 'Lost In Paradise'
 'What You Want']",4,56,2004,2011,4,8,0,0,6,False
Buzz Clifford,"[""Baby Sittin' Boogie""]",1,14,1961,1961,1,1,0,0,3,False
Sandy Posey,"['Single Girl' 'Born A Woman' 'Are You Never Coming Home' 'I Take It Back'
 ""What A Woman In Love Won't Do""]",5,50,1966,1967,2,2,0,0,0,False
Creedence Clearwater Revival,"['Suzie Q. (Part One)' 'Sweet Hitch-Hiker' 'Proud Mary' 'Commotion'
 'Someday Never Comes'
 ""Lookin' Out My Back Door/Long As I Can See The Light""
 'Have You Ever Seen The Rain/Hey Tonight' 'Fortunate Son'
 'Bad Moon Rising' 'Green River' 'Lodi' 'Down On The Corner/Fortunate Son'
 'I Put A Spell On You' ""Travelin' Band/Who'll Stop The Rain""
 'Up Around The Bend/Run Through The Jungle']",15,154,1968,1972,5,5,0,29,49,False
Neil Diamond,"['Play Me' 'Thank The Lord For The Night Time' ""Don't Think....Feel""
 ""September Morn'"" 'Solitary Man' 'Desiree' 'Stones/Crunchy Granola Suite'
 ""Brother Love's Travelling Salvation Show""
 '""Cherry Cherry"" from Hot August Night' 'Shilo' 'Be Mine Tonight' 'Do It'
 'Sweet Caroline (Good Times Never Seemed So Good)' ""Cracklin' Rosie""
 'Song Sung Blue' 'Soolaimón (African Trilogy II)' 'Love On The Rocks'
 'Hello Again' 'I Am...I Said/Done Too Soon' 'If You Know What I Mean'
 'Longfellow Serenade' 'Be' 'America' 'Cherry, Cherry' 'Red Red Wine'
 'Skybird' 'Say Maybe' 'Forever In Blue Jeans'
 ""Girl, You'll Be A Woman Soon"" ""He Ain't Heavy...He's My Brother""
 ""I Got The Feelin' (Oh No No)"" 'Heartlight' 'On The Way To The Sky'
 'Holly Holy' ""I'm Alive"" ""I've Been This Way Before"" 'Kentucky Woman'
 'Headed For The Future' 'Front Page Story' 'The Good Lord Loves You'
 'The Last Thing On My Mind' 'The Long Way Home' 'Brooklyn Roads'
 'Sunday Sun' 'New Orleans' ""I'm A Believer"" ""Yesterday's Songs""
 'You Got To Me' 'Turn Around' 'Two-Bit Manchild'
 ""Until It's Time For You To Go"" 'Walk On Water']",52,553,1966,1986,20,21,2,29,58,False
Christopher Cross,"['All Right' ""Say You'll Be Mine"" 'Ride Like The Wind'
 ""Arthur's Theme (Best That You Can Do)"" 'Sailing' 'No Time For Talk'
 'Charm The Snake' 'Never Be The Same' 'A Chance For Heaven'
 'Think Of Laura']",10,152,1980,1985,6,6,4,18,30,False
Coolio Featuring 40 Thevz,"['C U When U Get There (From ""Nothing To Lose"")']",1,20,1997,1997,1,1,0,0,0,True
"Nelly, P. Diddy & Murphy Lee",['Shake Ya Tailfeather'],1,30,2003,2004,2,2,4,11,12,False
Christina Aguilera Featuring Lil' Kim,"[""Can't Hold Us Down""]",1,20,2003,2003,1,1,0,0,0,True
Plies Featuring T-Pain,['Shawty'],1,22,2007,2007,1,1,0,0,5,True
Shakira,"['She Wolf' 'Empire' 'Dare (La La La)' ""Don't Bother"" 'Gypsy'
 'Objection (Tango)' 'Me Enamore' 'Whenever, Wherever' 'Try Everything'
 'Underneath Your Clothes']",10,119,2001,2017,9,17,0,0,9,False
21 Savage,"['Bank Account' 'A Lot' ""Can't Leave Without It"" 'All My Friends'
 'Break Da Law' 'Immortal' 'Monster' 'Gun Smoke' 'Famous' '1.5'
 'Out For The Night' 'Red Opps' 'ASMR']",13,73,2017,2019,3,3,0,0,0,False
Kokomo,['Asia Minor'],1,14,1961,1961,1,1,0,0,1,False
The Foundations,"[""Baby, Now That I've Found You"" 'Build Me Up Buttercup'
 'In The Bad, Bad Old Days (Before You Loved Me)' 'Back On My Feet Again'
 'My Little Chickadee']",5,43,1967,1969,3,3,0,7,8,False
The Police,"['Spirits In The Material World' ""Don't Stand So Close To Me""
 'Synchronicity II' 'De Do Do Do, De Da Da Da' 'Every Breath You Take'
 'King Of Pain' 'Roxanne' ""Don't Stand So Close To Me '86""
 'Every Little Thing She Does Is Magic' 'Secret Journey'
 'Message In A Bottle' 'Wrapped Around Your Finger']",12,176,1979,1986,7,8,8,16,29,False
John Mellencamp,"['Pink Houses' 'Pop Singer' 'Dance Naked' 'Small Town'
 ""R.O.C.K. In The U.S.A. (A Salute to 60's Rock)"" 'Cherry Bomb'
 'Check It Out' 'Rain On The Scarecrow' 'Rumbleseat' 'Paper In Fire'
 'Again Tonight' ""Lonely Ol' Night""
 'Key West Intermezzo (I Saw You First)' 'Just Another Day' 'Get A Leg Up'
 'Rooty Toot Toot' 'Jackie Brown' 'Our Country' 'Human Wheels']",19,280,1983,2006,15,24,0,4,23,False
The Smashing Pumpkins,"['1979' 'Bullet With Butterfly Wings' 'Ava Adore' 'Perfect' 'Tarantula'
 'Thirty-Three' 'Doomsday Clock' 'Tonight, Tonight']",8,111,1995,2007,5,13,0,0,0,False
Burl Ives,"['A Little Bitty Tear' 'A Holly Jolly Christmas' 'Call Me Mr. In-Between'
 'Pearly Shells (Popo O Ewa)' ""Funny Way Of Laughin'"" 'Mary Ann Regrets'
 'The Same Old Hurt' 'This Is All I Ask' 'True Love Goes On And On']",9,74,1961,2019,7,59,0,0,6,False
Mike Clifford,['Close To Cathy' 'One Boy Too Late' 'What To Do With Laurie'],3,21,1962,1963,2,2,0,0,0,False
Roger Miller,"['Chug-A-Lug' 'Do-Wacka-Do' 'King Of The Road' 'Little Green Apples'
 'Kansas City Star' 'Husbands And Wives' 'Engine Engine #9'
 'England Swings' 'Dang Me' 'My Uncle Used To Love Me But She Died'
 'Heartbreak Hotel' ""One Dyin' And A Buryin'""
 ""You Can't Roller Skate In A Buffalo Herd"" 'Vance'
 ""Walkin' In The Sunshine""]",15,123,1964,1969,6,6,0,2,19,False
Elvis Presley With The Jordanaires,"['Ask Me' ""(You're the) Devil In Disguise"" 'Surrender' ""Don't Ask Me Why""
 'Are You Lonesome To-night?' 'Puppet On A String' 'Stuck On You'
 ""A Big Hunk O' Love"" 'A Mess Of Blues' ""Can't Help Falling In Love""
 ""She's Not You"" 'Hard Headed Woman' 'Bossa Nova Baby' 'Rock-A-Hula Baby'
 'Such A Night' '(Such An) Easy Question'
 ""(Now and Then There's) A Fool Such As I"" 'Return To Sender'
 ""Anything That's Part Of You"" 'I Need Your Love Tonight'
 'My Wish Came True' ""It's Now Or Never"" 'Good Luck Charm' 'All That I Am'
 'Crying In The Chapel' 'Tell Me Why' 'Spinout' 'Stay Away'
 'A Little Less Conversation' ""Kissin' Cousins"" 'I Gotta Know'
 'King Of The Whole Wide World' 'Fame And Fortune' 'It Hurts Me'
 'Kiss Me Quick' 'Just Tell Her Jim Said Hello' 'It Feels So Right'
 'Lonely Man' 'Flaming Star' 'Long Legged Girl (With The Short Dress On)'
 'Let Yourself Go' ""That's Someone You Never Forget"" ""There's Always Me""
 'Almost In Love' 'Tickle Me' ""You Don't Know Me""
 ""You'll Never Walk Alone"" 'Where Do You Come From' 'Wild In The Country'
 'Witchcraft' ""Your Time Hasn't Come Yet, Baby"" 'U.S. Male'
 'Viva Las Vegas']",53,460,1958,1968,11,11,21,67,107,False
Eagles,"['Take It Easy' 'Seven Bridges Road' 'Already Gone' 'Take It To The Limit'
 'Best Of My Love' 'Peaceful Easy Feeling' 'One Of These Nights'
 'New Kid In Town' 'Heartache Tonight' ""I Can't Tell You Why""
 'Get Over It' 'Please Come Home For Christmas' 'Outlaw Man'
 'Tequila Sunrise' 'Hotel California' 'Life In The Fast Lane'
 'Hole In The World' ""Lyin' Eyes"" 'James Dean' 'The Long Run'
 'Witchy Woman']",21,289,1972,2003,13,32,5,34,60,False
Frankie Valli,"[""Swearin' To God"" 'Our Day Will Come' ""Can't Take My Eyes Off You""
 'Grease' 'Fallen Angel' 'Fancy Dancer' 'I Make A Fool Of Myself'
 'My Eyes Adored You'
 ""The Girl I'll Never Know (Angels Never Fly This Low)""
 ""(You're Gonna) Hurt Yourself"" 'The Proud One'
 'To Give (The Reason I Live)' ""We're All Alone""]",13,138,1966,1979,9,14,3,14,27,False
Jefferson Starship,"['Count On Me' 'Runaway' 'Be My Lady' 'Stranger' 'Play On Love'
 'St. Charles' ""Crazy Feelin'"" 'Jane' 'No Way Out' 'Find Your Way Back'
 'Miracles' ""Layin' It On The Line"" 'Girl With The Hungry Eyes'
 'Light The Sky On Fire' 'Ride The Tiger' 'Winds Of Change'
 'With Your Love']",17,186,1974,1984,11,11,0,6,10,False
Foreigner,"['Dirty White Boy' 'That Was Yesterday' 'Cold As Ice' 'Say You Will'
 'Blue Morning, Blue Day' 'Break It Up' 'I Want To Know What Love Is'
 'Hot Blooded' 'Reaction To Action' 'Head Games'
 ""I Don't Want To Live Without You"" 'Double Vision' 'Juke Box Hero'
 'Down On Love' 'Long, Long Way From Home' 'Feels Like The First Time'
 'Luanne' 'Heart Turns To Stone' 'Women' 'Until The End Of Time' 'Urgent'
 'Waiting For A Girl Like You']",22,337,1977,1995,11,19,2,37,62,False
Quiet Riot,"['Cum On Feel The Noize' 'Bang Your Head (Metal Health)'
 'Mama, Weer All Crazee Now']",3,45,1983,1984,2,2,0,2,5,False
Robert Palmer,"['Simply Irresistible' 'Addicted To Love'
 'Bad Case Of Loving You (Doctor, Doctor)' 'Can We Still Be Friends'
 'Early In The Morning' 'Mercy Mercy Me (The Ecology)/I Want You'
 ""I Didn't Mean To Turn You On"" 'Hyperactive' ""Tell Me I'm Not Dreaming""
 'Every Kinda People' 'Man Smart, Woman Smarter' 'Discipline Of Love'
 'Sweet Lies' 'You Are In My System' ""You're Amazing""]",15,191,1976,1991,13,16,1,12,18,False
Sugar Ray,"['Someday' 'Falls Apart' 'Every Morning' ""When It's Over""]",4,105,1999,2001,3,3,0,8,20,False
Will Smith,"['Switch' ""Gettin' Jiggy Wit It"" 'Just The Two Of Us' 'Miami'
 ""Freakin' It""]",5,96,1998,2005,4,8,3,5,11,False
Bill Black's Combo,"[""Don't Be Cruel"" 'Smokie - Part 2' 'Blue Tango' 'Do It - Rat Now'
 'Monkey-Shine' 'Hearts Of Stone' 'Josephine' ""Movin'""
 'Ole Buttermilk Sky' ""-twistin'-White Silver Sands"" ""Comin' On"" 'So What'
 'Honky Train' 'Little Queenie' 'Tequila' 'White Silver Sands'
 'Turn On Your Love Light' 'Twist-Her']",18,136,1959,1968,8,10,0,0,1,False
Marvin Gaye,"[""That's The Way Love Is"" 'Pride And Joy' 'Come Get To This'
 ""Baby Don't You Do It"" 'Can I Get A Witness' 'Chained'
 'Pretty Little Baby' ""Ain't That Peculiar"" 'Sexual Healing'
 'I Heard It Through The Grapevine' 'Got To Give It Up (Pt. I)'
 ""How Can I Forget/Gonna Give Her All The Love I've Got""
 'Inner City Blues (Make Me Wanna Holler)' 'One More Heartache'
 'Stubborn Kind Of Fellow' 'Distant Lover' 'Take This Heart Of Mine'
 'I Want You' 'Mercy, Mercy Me (The Ecology)' ""Let's Get It On""
 ""I'll Be Doggone"" ""Gonna Give Her All The Love I've Got""
 ""I'm Crazy 'Bout My Baby"" 'How Sweet It Is To Be Loved By You'
 'Little Darling, I Need You' 'The End Of Our Road' 'After The Dance'
 'Hitch Hike' 'You Sure Love To Ball' ""You're A Wonderful One""
 ""You're The Man (Part 1)"" 'You' ""What's Going On"" 'Your Unchanging Love'
 'Too Busy Thinking About My Baby' 'Trouble Man' 'Try It Baby']",37,393,1962,1983,17,22,10,41,76,False
Juice Newton,"['Angel Of The Morning' 'Break It To Me Gently' 'Queen Of Hearts'
 'Tell Her No' 'A Little Love' ""Can't Wait All Night""
 ""Love's Been A Little Bit Hard On Me"" 'Heart Of The Night'
 ""It's A Heartache"" 'Dirty Looks' ""The Sweetest Thing (I've Ever Known)""]",11,156,1978,1984,5,7,0,7,27,False
The Pointer Sisters,"['Automatic' 'Should I Do It' 'Dare Me' 'American Music' 'Slow Hand'
 'Could I Be Dreaming' 'Baby Come And Get It' 'Jump (for My Love)'
 'Be There (From ""Beverly Hills Cop II"")'
 'If You Wanna Get Back Your Lady' 'Neutron Dance' 'Happiness' 'Freedom'
 ""I'm So Excited"" ""He's So Shy"" 'Goldmine' 'Fire' 'Going Down Slowly'
 ""How Long (Betcha' Got A Chick On The Side)"" 'I Need You' 'Fairytale'
 'All I Know Is The Way I Feel' 'Live Your Life Before You Die'
 'Yes We Can Can' 'Twist My Arm' 'Wang Dang Doodle']",26,387,1973,1987,14,15,0,18,46,False
Kool & The Gang,"['Cherish' 'Big Fun' 'Take My Heart (You Can Have It If You Want It)'
 'Spirit Of The Boogie/Summer Madness' 'Open Sesame - Part 1'
 'Celebration' 'Stone Love' 'Special Way' 'Rhyme Tyme People' 'Fresh'
 'Emergency' ""Let's Go Dancin' (ooh La, La, La)"" 'Misled' 'Higher Plane'
 'Hollywood Swinging' 'Get Down On It' 'Jones Vs. Jones' 'Joanna'
 'Ladies Night' 'Holiday' 'Let The Music Take Your Mind'
 'The Gangs Back Again' ""Steppin' Out"" 'Caribbean Festival' 'Funky Man'
 'Kool And The Gang' 'Funky Stuff' 'Jungle Boogie'
 'Love And Understanding (Come Together)' 'Tonight' 'Too Hot' 'Victory']",32,469,1969,1988,17,20,2,16,47,False
Onyx,['Slam' 'Last Dayz' 'Shifftee' 'Throw Ya Gunz'],4,31,1993,1995,2,3,0,4,6,False
Ludacris Featuring Bobby Valentino,"[""Pimpin' All Over The World""]",1,20,2005,2005,1,1,0,0,3,True
Chicago,"[""(i've Been) Searchin' So Long"" 'Alive Again' 'Stay The Night'
 'Along Comes A Woman' '25 Or 6 To 4' ""Questions 67 And 68/I'm A Man""
 'Dialogue (Part I & II)' 'Saturday In The Park'
 'Baby, What A Big Surprise' 'Does Anybody Really Know What Time It Is?'
 ""Chasin' The Wind"" 'Harry Truman' 'If You Leave Me Now'
 'Hard Habit To Break' 'Another Rainy Day In New York City'
 'Beginnings/Colour My World' 'Brand New Love Affair (Part I & II)'
 'Take Me Back To Chicago' 'Old Days' ""Just You 'n' Me""
 ""I Don't Wanna Live Without Your Love"" 'Love Me Tomorrow'
 ""Feelin' Stronger Every Day"" ""Hard To Say I'm Sorry"" 'No Tell Lover'
 'Look Away' 'Call On Me' 'Lowdown' 'Must Have Been Crazy'
 'Gone Long Gone' 'If She Would Have Been Faithful. . .' 'Free'
 'Little One' 'Make Me Smile' 'Hearts In Trouble (From ""Days Of Thunder"")'
 'Niagara Falls' 'Thunder And Lightning' 'Questions 67 And 68'
 'You Are On My Mind' ""You're Not Alone"" ""You're The Inspiration""
 'Will You Still Love Me?' 'Wishing You Were Here' 'We Can Last Forever'
 'What Kind Of Man Would I Be?' ""What You're Missing""]",46,607,1969,1991,22,23,6,44,98,False
Mac Davis,"['Stop And Smell The Roses'
 ""Rock N' Roll (I Gave You The Best Years Of My Life)""
 ""Baby Don't Get Hooked On Me"" 'One Hell Of A Woman'
 'Texas In My Rear View Mirror' '(if You Add) All The Love In The World'
 ""Burnin' Thing"" 'Everybody Loves A Love Song' 'Dream Me Home'
 'Forever Lovers' ""It's Hard To Be Humble"" 'Secrets'
 'Beginning To Feel The Pain' 'Whoever Finds This, I Love You'
 'Your Side Of The Bed']",15,145,1970,1981,9,12,3,5,11,False
Olivia Newton-John,"['Deeper Than The Night' 'Something Better To Do' 'Soul Kiss' 'Physical'
 'A Little More Love' 'Sam' 'Come On Over' 'Please Mr. Please'
 ""Don't Stop Believin'"" ""Dancin' 'round And 'round"" 'I Honestly Love You'
 'Have You Never Been Mellow' ""Livin' In Desperate Times"" 'Heart Attack'
 'Hopelessly Devoted To You' 'Make A Move On Me'
 'I Honestly Love You (David Foster Vers.)' 'Magic'
 ""Let It Shine/He Ain't Heavy...He's My Brother""
 'Every Face Tells A Story' 'Landslide' 'Let Me Be There'
 'If You Love Me (let Me Know)' 'Making A Good Thing Better'
 'Banks Of The Ohio' 'The Rumour' 'I Need Love' 'If Not For You' 'Tied Up'
 'Totally Hot' 'Twist Of Fate']",31,408,1971,1998,18,28,17,54,92,False
Herb Alpert,"['Rise' 'Diamonds' 'Route 101' 'Rotation' 'Red Hot' 'Beyond' 'Magic Man'
 'Garden Party' 'Making Love In The Rain' 'Keep Your Eye On Me'
 ""This Guy's In Love With You"" 'Without Her' 'To Wait For Love']",13,139,1968,1987,9,20,6,16,21,False
Bryan Adams,"['Run To You' 'Cuts Like A Knife' 'Somebody' 'One Night Love Affair'
 ""Can't Stop This Thing We Started"" '(Everything I Do) I Do It For You'
 ""Summer Of '69"" 'Do I Have To Say The Words?' 'Straight From The Heart'
 'Please Forgive Me' 'Heaven' 'Heat Of The Night'
 'Have You Ever Really Loved A Woman?' ""Let's Make A Night To Remember""
 'Hearts On Fire' 'Lonely Nights'
 'The Only Thing That Looks Good On Me Is You'
 'There Will Never Be Another Tonight' 'This Time'
 ""Thought I'd Died And Gone To Heaven"" 'Victim Of Love']",21,359,1982,1997,12,16,14,30,57,False
Mark Morrison,['Return Of The Mack' 'Moan & Groan'],2,47,1997,1998,2,2,0,11,15,False
Bobby Goldsboro,"['See The Funny Little Clown' 'Autumn Of My Life'
 'Summer (The First Time)' 'Blue Autumn' 'Broomstick Cowboy'
 'Can You Feel It' 'Honey' ""It's Too Late"" 'I Know You Better Than That'
 'Little Things' 'Muddy Mississippi Line' ""If You've Got A Heart""
 'If You Wait For Love' 'It Hurts Me' 'Come Back Home' 'The Straight Life'
 'Molly' 'Me Japanese Boy I Love You' ""Glad She's A Woman"" 'Mornin Mornin'
 ""I'm A Drifter"" 'And I Love You So' 'Whenever He Holds You'
 'With Pen In Hand' 'Voodoo Woman' 'Watching Scotty Grow']",26,216,1962,1973,12,12,5,8,12,False
Michael Jackson,"[""She's Out Of My Life"" 'Smooth Criminal' 'Black Or White'
 'Another Part Of Me' 'Bad' 'Blood On The Dance Floor'
 'Slave To The Rhythm' 'Billie Jean' 'Dirty Diana' 'Remember The Time'
 'Butterflies' 'Rock With You' 'Beat It' ""Don't Stop 'til You Get Enough""
 ""Rockin' Robin"" 'In The Closet' 'Human Nature' 'Man In The Mirror'
 'Off The Wall' 'I Wanna Be Where You Are' 'Ben'
 'P.Y.T. (Pretty Young Thing)' 'One Day In Your Life' 'Jam'
 'Heal The World' 'Farewell My Summer Love' 'Got To Be There'
 'Just A Little Bit Of You' 'Stranger In Moscow' 'One More Chance'
 'The Way You Make Me Feel' ""They Don't Care About Us"" 'Thriller'
 'You Are Not Alone' ""You Can't Win (Part 1)"" 'You Rock My World'
 'Who Is It' 'Will You Be There' ""With A Child's Heart""
 ""Wanna Be Startin' Somethin'"" ""We're Almost There""]",41,610,1971,2019,27,49,30,91,146,False
The Motels,"['Suddenly Last Summer' 'Shame' 'Remember The Night' 'Only The Lonely'
 'Remember The Nights' 'Forever Mine' 'Take The L.' 'Shock']",8,88,1982,1985,4,4,0,0,6,False
Bobby Brown,"['Roni' ""Rock Wit'cha"" ""Don't Be Cruel"" ""Humpin' Around"" 'Good Enough'
 ""That's The Way Love Is"" 'On Our Own (From ""Ghostbusters II"")'
 'Girlfriend' 'My Prerogative' 'Every Little Step' 'Get Away']",11,206,1986,1993,7,8,1,22,46,False
Wilson Phillips,"['Release Me' 'Impulsive' 'Hold On' 'Give It Up'
 'The Dream Is Still Alive' ""You Won't See Me Cry"" ""You're In Love""]",7,127,1990,1992,3,3,4,19,30,False
Another Bad Creation,['Playground' 'Iesha'],2,40,1991,1991,1,1,0,0,3,False
Nelly Featuring City Spud,['Ride Wit Me'],1,29,2001,2001,1,1,0,9,12,True
Lorde,"['Royals' 'Tennis Court' 'Team' 'Liability' 'Glory And Gore' 'Green Light'
 'Yellow Flicker Beat']",7,122,2013,2017,4,5,9,18,37,False
The Crests,"['16 Candles' 'Six Nights A Week' 'Step By Step' 'The Angels Listened In'
 'A Year Ago Tonight' 'Trouble In Paradise']",6,88,1958,1960,3,3,0,7,8,False
Ben E. King,"[""Don't Play That Song (You Lied)"" 'Supernatural Thing - Part I'
 'Spanish Harlem' 'Stand By Me' 'Amor' 'Seven Letters'
 'Here Comes The Night' 'First Taste Of Love'
 'I Could Have Danced All Night' ""It's All Over"" 'Ecstasy'
 'Goodnight My Love' 'Do It In The Name Of Love' ""That's When It Hurts""
 'So Much Love' 'The Record (Baby I Love You)' 'How Can I Forget'
 'I (Who Have Nothing)' 'Tears, Tears, Tears' 'Young Boy Blues' 'Too Bad']",21,163,1960,1987,11,28,0,3,11,False
Chad & Jeremy,"['A Summer Song' 'Before And After' 'Distant Shores'
 ""I Don't Wanna Lose You Baby"" 'If I Loved You' 'From A Window'
 'I Have Dreamed' ""Yesterday's Gone"" 'You Are She' 'Willow Weep For Me'
 'What Do You Want With Me']",11,86,1964,1966,3,3,0,0,3,False
Miriam Makeba,['Pata Pata' 'Malayisha'],2,14,1967,1968,2,2,0,0,0,False
Linda Ronstadt (Featuring Aaron Neville),"[""Don't Know Much"" 'All My Life' 'When Something Is Wrong With My Baby']",3,47,1989,1990,2,2,0,6,8,True
JAY-Z,"['Dirt Off Your Shoulder' 'Show Me What You Got'
 'D.O.A. (Death Of Auto-Tune)' '4:44' 'Change Clothes' 'Blue Magic'
 '99 Problems' 'Anything' ""Can't Knock The Hustle""
 'Hard Knock Life (Ghetto Anthem)' 'Excuse Me Miss' 'Kill Jay Z'
 'I Just Wanna Love U (Give It 2 Me)' 'Izzo (H.O.V.A.)'
 'Girls, Girls, Girls' 'Jigga' ""Girls' Best Friend"" 'Jigga My N****'
 ""Feelin' It"" 'Moonlight' 'Marcy Me' 'Roc Boys (And The Winner Is)...'
 'Picasso Baby' 'The Story Of O.J.' 'Kingdom Come' 'Crown'
 'Who You Wit (From ""Sprung"")' 'Tom Ford']",28,297,1996,2017,14,22,0,1,17,False
Murray Head,['One Night In Bangkok'],1,20,1985,1985,1,1,0,3,6,False
Gym Class Heroes Featuring Neon Hitch,['Ass Back Home'],1,23,2011,2012,2,2,0,0,0,True
Alannah Myles,['Black Velvet' 'Love Is'],2,37,1990,1990,1,1,2,5,7,False
Groove Theory,"['Tell Me' 'Baby Luv' ""Keep Tryin'""]",3,56,1995,1996,2,2,0,3,7,False
Crazy Town,['Butterfly'],1,23,2001,2001,1,1,2,6,8,False
Taco,"[""Puttin' On The Ritz""]",1,21,1983,1983,1,1,0,3,6,False
The Monkees,"['Pleasant Valley Sunday' 'A Little Bit Me, A Little Bit You'
 'Daydream Believer' 'That Was Then, This Is Now' 'D. W. Washburn'
 ""I'm A Believer"" ""(I'm Not Your) Steppin' Stone"" 'Tapioca Tundra'
 'Last Train To Clarksville' ""It's Nice To Be With You"" 'Heart And Soul'
 'The Girl I Knew Somewhere' 'Someday Man' 'Tear Drop City'
 'Porpoise Song' 'Listen To The Band' 'Oh My My' 'Good Clean Fun' 'Words'
 'Valleri']",20,166,1966,1987,7,22,12,34,47,False
The Dave Clark Five,"[""Can't You See That She's Mine"" 'Catch Us If You Can' 'Bits And Pieces'
 'Do You Love Me' 'Any Way You Want It' 'Come Home' ""Reelin' And Rockin'""
 'Because' 'Over And Over' 'At The Scene' 'Please Tell Me Why'
 'Everybody Knows (I Still Love You)' 'Glad All Over'
 'I Like It Like That' 'Nineteen Days' ""I've Got To Have A Reason""
 'Everybody Knows' 'I Knew It All The Time' 'Satisfied With You'
 'A Little Bit Now' 'Red And Blue' 'You Got What It Takes'
 'You Must Have Been A Beautiful Baby' 'Try Too Hard']",24,206,1964,1968,5,5,1,14,34,False
Petula Clark,"[""Don't Sleep In The Subway"" 'Color My World' 'A Sign Of The Times'
 'Round Every Corner' 'American Boys'
 'The Cat In The Window (The Bird In The Sky)'
 ""I Couldn't Live Without Your Love"" 'Kiss Me Goodbye' 'Happy Heart'
 'Downtown' 'My Love' 'Look At Mine' 'Natural Love'
 'No One Better Than You' 'I Know A Place' ""Don't Give Up""
 ""The Other Man's Grass Is Always Greener"" 'This Is My Song' 'My Guy'
 ""You'd Better Come Home"" 'Who Am I' 'Wedding Song (There Is Love)']",22,190,1964,1982,8,19,4,18,31,False
50 Cent Featuring Justin Timberlake & Timbaland,['Ayo Technology'],1,20,2007,2008,2,2,0,1,2,True
"The 4 Seasons Featuring the ""Sound of Frankie Valli""","['Ronnie' 'Tell It To The Rain' 'Rag Doll' ""Beggin'""
 ""Opus 17 (Don't You Worry 'Bout Me)"" 'Save It For Me' ""C'mon Marianne""
 'Bye, Bye, Baby (Baby, Goodbye)' 'Big Man In Town' ""Let's Hang On!""
 'Girl Come Running' ""I've Got You Under My Skin"" 'Electric Stories'
 'Working My Way Back To You' 'Will You Love Me Tomorrow' 'Toy Soldier'
 'Watch The Flowers Grow']",17,151,1964,1969,6,6,2,12,29,True
Ray Charles,"['Take These Chains From My Heart' ""Don't Change On Me"" 'Crying Time'
 'That Lucky Old Sun' 'Ruby' 'One Mint Julep' 'Born To Lose'
 ""That's A Lie"" 'A Tear Fell' 'Hardhearted Hannah' 'Here We Go Again'
 ""Look What They've Done To My Song, Ma"" 'No One' ""Let's Go Get Stoned""
 ""I've Got News For You"" 'My Heart Cries For You' ""Makin' Whoopee""
 ""I Can't Stop Loving You"" 'Eleanor Rigby'
 ""I'm Gonna Move To The Outskirts Of Town"" 'In The Heat Of The Night'
 'If You Were Mine'
 'I Can Make It Thru The Days (But Oh Those Lonely Nights)'
 'No One To Cry To' ""Listen, They're Playing My Song"" 'Georgia On My Mind'
 'Let Me Love You' 'Sweet Young Thing Like You' 'Careless Love' 'Cry'
 'Come Rain Or Come Shine' ""Don't Let The Sun Catch You Cryin'""
 'Let The Good Times Roll' 'I Want To Talk About You' 'Feel So Bad'
 'Living For The City' ""I'm A Fool To Care"" 'Laughin And Clownin'
 'Come Live With Me' 'Yesterday' 'You Are My Sunshine' ""You Don't Know Me""
 ""You're Just About To Lose Your Clown"" 'Without Love (There Is Nothing)'
 'Your Cheating Heart' 'Together Again' 'Understanding'
 'What Am I Living For']",48,352,1960,1975,15,16,6,17,30,False
