Performer,songs,numSong,len_weeks,year_min,year_max,len_year_different,year_space,top1,top5,top10,is_featuring
Ed Sheeran,"['Shape Of You' 'Castle On The Hill' 'Sing' 'Afire Love' 'Perfect' 'Dive'
 'The A Team' 'Photograph' 'Make It Rain' 'How Would You Feel (Paean)'
 ""Don't"" 'Galway Girl' 'Happier' 'Supermarket Flowers' 'New Man' 'Eraser'
 ""Hearts Don't Break Around Here"" 'One' 'Barcelona' 'Thinking Out Loud'
 'Lego House' 'What Do I Know?']",22,361,2012,2018,6,7,17,61,87,False
Ariana Grande,"['Thank U, Next' '7 Rings' ""Break Up With Your Girlfriend, I'm Bored""
 'Dangerous Woman' 'Baby I' 'Breathin' 'Bloodline' 'Bad Idea'
 'One Last Time' 'Be Alright' 'Sweetener' 'No Tears Left To Cry' 'Focus'
 'Santa Tell Me' 'God Is A Woman' 'Needy' 'NASA' 'Imagine' 'Ghostin'
 'Fake Smile' 'In My Head' 'Make Up' 'Everytime' 'R.E.M' 'Into You'
 'Goodnight N Go' 'Last Christmas' 'Pete Davidson']",28,277,2013,2019,6,7,15,30,52,False
Jonas Brothers,"['Sucker' ""Burnin' Up"" 'A Little Bit Longer' ""Pushin' Me Away""
 'Play My Music' 'Cool' 'Paranoid' 'Only Human' 'Pom Poms' 'S.O.S.'
 ""Like It's Christmas"" 'Fly With Me' 'Lovebug' 'Love Is On Its Way'
 'Hold On' 'BB Good' 'Year 3000' 'When You Look Me In The Eyes' 'Tonight']",19,192,2007,2019,5,13,1,10,26,False
Perez Prado And His Orchestra,['Patricia' 'Patricia - Twist' 'Guaglione' 'Paris'],4,29,1958,1962,2,5,0,4,6,False
Mariah Carey,"['Always Be My Baby' ""Don't Forget About Us"" 'Bye Bye' 'Someday'
 'Anytime You Need A Friend' ""Can't Let Go"" 'Fantasy' 'Honey' 'My All'
 'Shake It Off' 'Obsessed' ""I'll Be There"" 'Emotions' 'Dreamlover'
 ""I Don't Wanna Cry"" ""It's Like That"" 'All I Want For Christmas Is You'
 'I Want To Know What Love Is' 'I Still Believe' 'Hero' 'Love Takes Time'
 'Make It Happen' 'Never Too Far/Hero Medley' 'Infinity'
 'Through The Rain' ""I'll Be Lovin' U Long Time"" 'Oh Santa!'
 ""You're Mine (Eternal)"" 'Without You/Never Forget You' 'Touch My Body'
 'Vision Of Love' 'We Belong Together']",32,613,1990,2019,27,30,62,159,227,False
Bone Thugs-N-Harmony,"['Tha Crossroads' '1st Of Tha Month'
 'Look Into My Eyes (From ""Batman & Robin"")' 'If I Could Teach The World'
 'East 1999' 'Thuggish Ruggish Bone']",6,113,1994,1998,5,5,8,16,19,False
Boyz II Men,"['4 Seasons Of Loneliness' 'A Song For Mama' ""Please Don't Go"" 'Thank You'
 'On Bended Knee' 'In The Still Of The Nite (From ""The Jacksons"")'
 ""I'll Make Love To You"" 'End Of The Road (From ""Boomerang"")'
 'Motownphilly' 'Let It Snow' 'I Will Get There'
 ""It's So Hard To Say Goodbye To Yesterday"" 'I Remember'
 'Thank You In Advance' 'Uhh Ahh' ""Vibin'"" 'Water Runs Dry']",17,331,1991,2001,11,11,34,85,119,False
David Archuleta,"['Crush' ""Don't Let The Sun Go Down On Me"" 'Imagine' 'In This Moment'
 'Angels']",5,27,2008,2009,2,2,0,1,1,False
Miley Cyrus,"['Party In The U.S.A.' ""Can't Be Tamed"" 'Adore You' '7 Things'
 'Slide Away' 'Breakout' 'See You Again' 'Start All Over'
 ""Mother's Daughter"" 'Hoedown Throwdown' 'Stay' 'Malibu' 'Fly On The Wall'
 'Drive' ""G.N.O. (Girl's Night Out)"" 'The Climb' 'Someone Else'
 'Wrecking Ball' 'Younger Now' 'When I Look At You' ""We Can't Stop""]",21,249,2007,2019,8,13,3,36,57,False
Katy Perry Featuring Snoop Dogg,['California Gurls'],1,27,2010,2010,1,1,6,14,17,True
