SongID,year,comboWeek,comboInstance,maxPose,top1,top5,top10
StarshipsNicki Minaj,2012,31,1,5,0,4,21
CloserThe Chainsmokers Featuring Halsey,2016,52,1,1,12,27,32
PortlandDrake Featuring Quavo & Travis Scott,2017,16,1,9,0,0,1
Say SomethingJustin Timberlake Featuring Chris Stapleton,2018,16,1,9,0,0,1
Don't Matter To MeDrake Featuring Michael Jackson,2018,5,1,9,0,0,1
Sunflower (Spider-Man: Into The Spider-Verse)Post Malone & Swae Lee,2018,53,1,1,1,20,33
DiscothequeU2,1997,11,1,10,0,0,1
Come With MePuff Daddy Featuring Jimmy Page,1998,20,1,4,0,1,8
ChangeTaylor Swift,2008,3,1,10,0,0,1
SkyscraperDemi Lovato,2011,15,1,10,0,0,1
PerfectOne Direction,2015,20,1,10,0,0,1
Dangerous WomanAriana Grande,2016,21,1,8,0,0,2
Real LoveThe Beatles,1996,7,1,11,0,0,0
A Little Bit LongerJonas Brothers,2008,1,1,11,0,0,0
Rumour Has It / Someone Like YouGlee Cast,2011,3,1,11,0,0,0
So GoodB.o.B,2012,18,1,11,0,0,0
DianaOne Direction,2013,1,1,11,0,0,0
DirtFlorida Georgia Line,2014,20,1,11,0,0,0
SorryBeyonce,2016,20,1,11,0,0,0
RiseKaty Perry,2016,9,1,11,0,0,0
ParanoidPost Malone,2018,6,1,11,0,0,0
All MineKanye West,2018,9,1,11,0,0,0
BanditJuice WRLD & YoungBoy Never Broke Again,2019,11,1,10,0,0,1
Blinding LightsThe Weeknd,2019,3,1,11,0,0,0
Diggin' On YouTLC,1995,20,1,5,0,3,9
Somewhere Over The RainbowKatharine McPhee,2006,4,1,12,0,0,0
Ring The AlarmBeyonce,2006,14,2,11,0,0,0
AirplanesB.o.B Featuring Hayley Williams,2010,30,1,2,0,13,17
RunawayKanye West Featuring Pusha T,2010,13,1,12,0,0,0
Take A Little RideJason Aldean,2012,20,1,12,0,0,0
Scream & Shoutwill.i.am & Britney Spears,2012,24,1,3,0,5,11
Burnin' It DownJason Aldean,2014,20,1,12,0,0,0
Bitter Sweet SymphonyThe Verve,1998,20,1,12,0,0,0
Sex And CandyMarcy Playground,1998,28,1,8,0,0,4
Come And Get With MeKeith Sweat Featuring Snoop Dogg,1998,15,1,12,0,0,0
OursTaylor Swift,2011,20,1,13,0,0,0
Die YoungKeSha,2012,22,1,2,0,8,12
State Of GraceTaylor Swift,2012,1,1,13,0,0,0
Do What U WantLady Gaga Featuring R. Kelly,2013,19,1,13,0,0,0
Steal My GirlOne Direction,2014,18,1,13,0,0,0
Apes**tThe Carters,2018,15,1,13,0,0,0
Rap DevilMachine Gun Kelly,2018,4,1,13,0,0,0
"Don't Call Me Angel (Charlie's Angels)Ariana Grande, Miley Cyrus & Lana Del Rey",2019,7,1,13,0,0,0
That's The Way Love GoesJanet Jackson,1993,23,1,1,8,12,14
Save TonightEagle-Eye Cherry,1998,28,1,5,0,1,4
All For YouJanet,2001,22,1,1,7,12,14
Push It To The LimitCorbin Bleu,2007,5,1,14,0,0,0
Bartier CardiCardi B Featuring 21 Savage,2018,20,1,14,0,0,0
PhotographJ. Cole,2018,2,1,14,0,0,0
Rich & SadPost Malone,2018,6,1,14,0,0,0
DedicateLil Wayne,2018,2,1,14,0,0,0
Rescue MeMadonna,1991,8,1,9,0,0,1
AgainJanet Jackson,1993,23,1,1,2,13,15
All My LifeK-Ci & JoJo,1998,36,1,1,3,5,12
SingEd Sheeran,2014,20,1,13,0,0,0
Break FreeAriana Grande Featuring Zedd,2014,22,1,4,0,1,8
"All DayKanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",2015,15,1,15,0,0,0
Perfect IllusionLady Gaga,2016,6,2,15,0,0,0
Spoil My NightPost Malone Featuring Swae Lee,2018,5,1,15,0,0,0
One Summer NightThe Danleers,1958,8,1,16,0,0,0
Pushin' Me AwayJonas Brothers,2008,2,1,16,0,0,0
One Less Lonely GirlJustin Bieber,2009,16,2,16,0,0,0
"Stranded (Haiti Mon Amour)Jay-Z, Bono, The Edge & Rihanna",2010,2,1,16,0,0,0
ParadiseColdplay,2011,32,2,15,0,0,0
RonanTaylor Swift,2012,2,1,16,0,0,0
DiamondsRihanna,2012,26,1,1,3,12,15
That's My Kind Of NightLuke Bryan,2013,21,1,15,0,0,0
Say SomethingA Great Big World & Christina Aguilera,2013,26,1,4,0,9,14
Amnesia5 Seconds Of Summer,2014,20,1,16,0,0,0
Pop StyleDrake Featuring The Throne,2016,20,1,16,0,0,0
