SongID,year,comboWeek,comboInstance,maxPose,top1,top5,top10
"Shake Me, Wake Me (When It's Over)Four Tops",1966,9,1,18,0,0,0
Tell Me (You're Coming Back)The Rolling Stones,1964,10,1,24,0,0,0
A Brand New MeDusty Springfield,1969,12,1,24,0,0,0
Stick ShiftDuals,1961,11,1,25,0,0,0
Bang-Shang-A-LangThe Archies,1968,13,1,22,0,0,0
"Suite: Judy Blue EyesCrosby, Stills & Nash",1969,12,1,21,0,0,0
Don't Pull Your Love/then You Can Tell Me GoodbyeGlen Campbell,1976,10,1,27,0,0,0
Shangri-LaVic Dana,1964,10,1,27,0,0,0
Searching For My LoveBobby Moore & The Rhythm Aces,1966,10,1,27,0,0,0
Alice Long (You're Still My Favorite Girlfriend)Tommy Boyce & Bobby Hart,1968,10,1,27,0,0,0
All I Have To Do Is DreamBobbie Gentry & Glen Campbell,1970,10,1,27,0,0,0
Tell Her NoJuice Newton,1983,11,1,27,0,0,0
Say It AgainJermaine Stewart,1988,12,1,27,0,0,0
Shadow Of The DayLinkin Park,2007,22,1,15,0,0,0
Baby Don't You Do ItMarvin Gaye,1964,9,1,27,0,0,0
"Sad, Sad GirlBarbara Mason",1965,9,1,27,0,0,0
Brother Love's Travelling Salvation ShowNeil Diamond,1969,13,1,22,0,0,0
Saturday Night SpecialLynyrd Skynyrd,1975,9,1,27,0,0,0
Tear The Roof Off The Sucker (Give Up The Funk)Parliament,1976,17,1,15,0,0,0
Shadows In The MoonlightAnne Murray,1979,12,1,25,0,0,0
"Catch Me (I'm Falling) (From The Film ""Hiding Out"")Pretty Poison",1987,23,1,8,0,0,3
A Fool In LoveIke & Tina Turner,1960,13,1,27,0,0,0
Do-Re-MiLee Dorsey,1961,10,1,27,0,0,0
Can I Get A WitnessMarvin Gaye,1963,16,1,22,0,0,0
Casino RoyaleHerb Alpert & The Tijuana Brass,1967,9,1,27,0,0,0
Chirpy Chirpy Cheep CheepMac And Katie Kissoon,1971,15,1,20,0,0,0
Out Of The QuestionGilbert O'Sullivan,1973,15,1,17,0,0,0
Thank You For Being A FriendAndrew Gold,1978,15,1,25,0,0,0
Come Back And StayPaul Young,1984,15,1,22,0,0,0
"Come On, Let's GoLos Lobos",1987,14,1,21,0,0,0
Closer To Home (I'm Your Captain)Grand Funk Railroad,1970,12,1,22,0,0,0
"Baretta's Theme (""Keep Your Eye On The Sparrow"")Rhythm Heritage",1976,13,1,20,0,0,0
The Best Disco In TownThe Ritchie Family,1976,20,1,17,0,0,0
Precious LoveBob Welch,1979,15,1,19,0,0,0
Poison ArrowABC,1983,15,1,25,0,0,0
China GirlDavid Bowie,1983,18,1,10,0,0,1
Another NightAretha Franklin,1986,14,1,22,0,0,0
BrazilThe Ritchie Family,1975,18,1,11,0,0,0
Over My HeadFleetwood Mac,1975,14,1,20,0,0,0
Slow Dancin' Don't Turn Me OnAddrisi Brothers,1977,15,1,20,0,0,0
Because The NightPatti Smith Group,1978,18,1,13,0,0,0
Somewhere Down The RoadBarry Manilow,1981,15,1,21,0,0,0
Brown SugarD'Angelo,1995,20,1,27,0,0,0
She Looks So Perfect5 Seconds Of Summer,2014,20,1,24,0,0,0
Quite A PartyThe Fireballs,1961,10,1,27,0,0,0
That's When The Music Takes MeNeil Sedaka,1975,10,1,27,0,0,0
A Little RespectErasure,1988,17,1,14,0,0,0
A New Day Has ComeCeline Dion,2002,20,1,22,0,0,0
DelilahTom Jones,1968,15,1,15,0,0,0
Around The Way GirlLL Cool J,1990,23,1,9,0,0,1
"Shame, Shame, ShameShirley And Company",1975,16,1,12,0,0,0
Ain't No Stoppin' Us NowMcFadden & Whitehead,1979,18,1,13,0,0,0
SouthsideLloyd Featuring Ashanti,2004,20,1,24,0,0,0
Pickin' Wild Mountain BerriesPeggy Scott & Jo Jo Benson,1968,10,1,27,0,0,0
Power Of LoveJoe Simon,1972,15,1,11,0,0,0
Say YesFloetry,2003,20,1,24,0,0,0
So Very Hard To GoTower Of Power,1973,18,1,17,0,0,0
Da' DipFreak Nasty,1997,33,1,15,0,0,0
Stoney EndBarbra Streisand,1970,18,1,6,0,0,4
Convention '72The Delegates,1972,8,1,8,0,0,2
That's The Way Boys AreLesley Gore,1964,9,1,12,0,0,0
A Steel Guitar And A Glass Of WinePaul Anka,1962,10,1,13,0,0,0
A Hazy Shade Of WinterSimon & Garfunkel,1966,9,1,13,0,0,0
Color My WorldPetula Clark,1966,9,1,16,0,0,0
PenetrationThe Pyramids,1964,10,1,18,0,0,0
Bumble BoogieB. Bumble & The Stingers,1961,10,1,21,0,0,0
PopsicleJan & Dean,1966,9,1,21,0,0,0
Reelin' And Rockin'The Dave Clark Five,1965,9,1,23,0,0,0
American KidsKenny Chesney,2014,20,1,23,0,0,0
"Baby, I Love YouThe Ronettes",1963,9,1,24,0,0,0
Blue WinterConnie Francis,1964,9,1,24,0,0,0
Out Of SightJames Brown And His Orchestra,1964,10,1,24,0,0,0
Our SongTaylor Swift,2007,36,1,16,0,0,0
Ooh BabyGilbert O'Sullivan,1973,10,1,25,0,0,0
Special OccasionSmokey Robinson & The Miracles,1968,9,1,26,0,0,0
Philadelphia U.S.A.The Nu Tornados,1958,12,1,26,0,0,0
Sweet Potatoe PieDomino,1994,19,1,27,0,0,0
RubyRay Charles,1960,9,1,28,0,0,0
Stars on 45 IIIStars On,1982,10,1,28,0,0,0
CannonballSupertramp,1985,12,1,28,0,0,0
Cotton Eye JoeRednex,1995,20,1,25,0,0,0
Something Like ThatTim McGraw,1999,20,1,28,0,0,0
19 Somethin'Mark Wills,2002,20,1,23,0,0,0
RingsCymarron,1971,12,1,17,0,0,0
Breaking Up Is Hard To DoThe Partridge Family Starring Shirley Jones Featuring David Cassidy,1972,10,1,28,0,0,0
Back In The DayAhmad,1994,20,1,26,0,0,0
Check Out Your MindThe Impressions,1970,12,1,28,0,0,0
Rockin' All Over The WorldJohn Fogerty,1975,11,1,27,0,0,0
Only Love Is RealCarole King,1976,11,1,28,0,0,0
Dependin' On YouThe Doobie Brothers,1979,12,1,25,0,0,0
SuddenlyOlivia Newton-John & Cliff Richard,1980,19,1,20,0,0,0
Ai No Corrida (I-No-Ko-ree-da)Quincy Jones,1981,12,1,28,0,0,0
That's LoveJim Capaldi,1983,13,1,28,0,0,0
Saved By ZeroThe Fixx,1983,16,1,20,0,0,0
A Fine Fine DayTony Carey,1984,15,1,22,0,0,0
So SexyTwista Featuring R. Kelly,2004,17,1,25,0,0,0
Dare You To MoveSwitchfoot,2004,20,1,17,0,0,0
StayFlorida Georgia Line,2013,20,1,28,0,0,0
Rainy Day PeopleGordon Lightfoot,1975,11,1,26,0,0,0
Carolina In The PinesMichael Murphey,1975,13,1,21,0,0,0
Big Green TractorJason Aldean,2009,20,1,18,0,0,0
Day By DayGodspell,1972,14,1,13,0,0,0
Disco QueenHot Chocolate,1975,11,1,28,0,0,0
Please Don't LeaveLauren Wood,1979,15,1,24,0,0,0
Set Me FreeUtopia,1980,12,1,27,0,0,0
Outta My SystemBow Wow Featuring T-Pain & Johnta Austin,2007,20,1,22,0,0,0
Burning Down The HouseTalking Heads,1983,20,1,9,0,0,1
Don't Disturb This GrooveThe System,1987,21,1,4,0,2,4
Rag DollAerosmith,1988,17,1,17,0,0,0
AngelJon Secada,1993,22,1,18,0,0,0
Shutters And BoardsJerry Wallace,1962,12,1,24,0,0,0
Quick Joey Small (Run Joey Run)Kasenetz-Katz Singing Orchestral Circus,1968,11,1,25,0,0,0
Summer BreezeSeals & Crofts,1972,18,1,6,0,0,3
A Little In LoveCliff Richard,1980,22,1,17,0,0,0
All This LoveDebarge,1983,19,1,17,0,0,0
Coming Around AgainCarly Simon,1986,17,1,18,0,0,0
Broken ArrowRod Stewart,1991,20,1,20,0,0,0
Shackles (Praise You)Mary Mary,2000,20,1,28,0,0,0
1985Bowling For Soup,2004,20,1,23,0,0,0
"Sugar Sugar/Cole, Cooke & ReddingWilson Pickett",1970,12,1,25,0,0,0
Prisoner Of Your LovePlayer,1978,11,1,27,0,0,0
And The Beat Goes OnThe Whispers,1980,15,1,19,0,0,0
Sweet TimeREO Speedwagon,1982,14,1,26,0,0,0
Squeeze BoxThe Who,1975,16,1,16,0,0,0
Shake For The SheikThe Escape Club,1988,14,1,28,0,0,0
Bella LindaThe Grass Roots,1968,9,1,28,0,0,0
OuiJeremih,2016,27,1,19,0,0,0
Bossa Nova BabyElvis Presley With The Jordanaires,1963,10,1,8,0,0,4
One Track MindBobby Lewis,1961,10,1,9,0,0,1
One Broken Heart For SaleElvis Presley With The Mello Men,1963,9,1,11,0,0,0
The Battle Of KookamongaHomer And Jethro,1959,10,1,14,0,0,0
Rubber DuckieErnie (Jim Henson),1970,9,1,16,0,0,0
Abigail BeecherFreddy Cannon,1964,8,1,16,0,0,0
AttackThe Toys,1965,9,1,18,0,0,0
Always TogetherThe Dells,1968,8,1,18,0,0,0
All Along The WatchtowerThe Jimi Hendrix Experience,1968,9,1,20,0,0,0
Take Care Of Your HomeworkJohnnie Taylor,1969,9,1,20,0,0,0
Call On MeBobby Bland,1963,12,1,22,0,0,0
Slip AwayClarence Carter,1968,16,1,6,0,0,3
Don't Say Goodnight And Mean GoodbyeThe Shirelles,1963,9,1,26,0,0,0
That's The Way I Feel About ChaBobby Womack & Peace,1971,13,1,27,0,0,0
Softly Whispering I Love YouThe English Congregation,1972,10,1,29,0,0,0
Ain't NobodyChaka Khan,1983,19,1,22,0,0,0
All About SoulBilly Joel,1993,20,1,29,0,0,0
AmazedLonestar,1999,55,2,1,2,8,12
AM To PMChristina Milian,2001,20,1,27,0,0,0
"Softly, As I Leave YouFrank Sinatra",1964,11,1,27,0,0,0
Arrow Through MeWings,1979,10,1,29,0,0,0
Chopped 'N' SkrewedT-Pain Featuring Ludacris,2008,19,1,27,0,0,0
SacredThe Castells,1961,12,1,20,0,0,0
Right By Your SideEurythmics,1984,12,1,29,0,0,0
And I Love You SoPerry Como,1973,16,1,29,0,0,0
ArielDean Friedman,1977,22,1,26,0,0,0
Close The DoorTeddy Pendergrass,1978,13,1,25,0,0,0
Don't Forget To DanceThe Kinks,1983,10,1,29,0,0,0
RunnerManfred Mann's Earth Band,1984,15,1,22,0,0,0
Secret RendezvousKaryn White,1989,21,1,6,0,0,3
Birthday CakeRihanna Featuring Chris Brown,2012,20,1,24,0,0,0
Don't Say You Don't RememberBeverly Bremers,1971,16,1,15,0,0,0
Peaceful Easy FeelingEagles,1972,12,1,22,0,0,0
Always And ForeverHeatwave,1978,20,1,18,0,0,0
Pinch MeBarenaked Ladies,2000,21,1,15,0,0,0
Rainbow ConnectionKermit (Jim Henson),1979,17,1,25,0,0,0
Something Real (Inside Me/Inside You)Mr. Mister,1987,11,1,29,0,0,0
Better Off AloneAlice Deejay,2000,20,1,27,0,0,0
See You In SeptemberThe Tempos,1959,14,1,23,0,0,0
OperatorThe Manhattan Transfer,1975,12,1,22,0,0,0
Come On OverOlivia Newton-John,1976,12,1,23,0,0,0
Take It EasyAndy Taylor,1986,17,1,24,0,0,0
Spy In The House Of LoveWas (Not Was),1988,17,1,16,0,0,0
Black BalloonGoo Goo Dolls,1999,34,1,16,0,0,0
Apple GreenJune Valli,1960,13,1,29,0,0,0
"Rock And Roll, Hoochie KooRick Derringer",1974,14,1,23,0,0,0
Paloma BlancaGeorge Baker Selection,1975,15,1,26,0,0,0
C'mon And Get My LoveD-Mob Introducing Cathy Dennis,1989,21,1,10,0,0,1
"Tell Me (From ""Eddie"")Dru Hill",1996,23,1,18,0,0,0
Crazy MamaJ.J. Cale,1972,14,1,22,0,0,0
DeucesChris Brown Featuring Tyga & Kevin McCall,2010,27,1,14,0,0,0
So This Is LoveThe Castells,1962,13,1,21,0,0,0
Radar LoveGolden Earring,1974,20,1,13,0,0,0
2 PhonesKevin Gates,2016,25,1,17,0,0,0
One Way Or AnotherBlondie,1979,14,1,24,0,0,0
5 O'ClockNonchalant,1996,20,1,24,0,0,0
Scarborough FairSergio Mendes & Brasil '66,1968,9,1,16,0,0,0
(Come 'round Here) I'm The One You NeedThe Miracles,1966,9,1,17,0,0,0
Saturday Night At The MoviesThe Drifters,1964,9,1,18,0,0,0
Cross Fire!The Orlons,1963,9,1,19,0,0,0
Ain't She SweetThe Beatles,1964,9,1,19,0,0,0
Carry Onfun.,2013,20,1,20,0,0,0
DelawarePerry Como,1960,11,1,22,0,0,0
Rock-A-Hula BabyElvis Presley With The Jordanaires,1961,10,1,23,0,0,0
StarbrightJohnny Mathis,1960,11,1,25,0,0,0
Reveille RockJohnny And The Hurricanes,1959,13,1,25,0,0,0
Remember MeRita Pavone,1964,9,1,26,0,0,0
"Courtesy Of The Red, White And Blue (The Angry American)Toby Keith",2002,20,1,25,0,0,0
Blue BayouRoy Orbison,1963,10,1,29,0,0,0
"Our HouseCrosby, Stills, Nash & Young",1970,9,1,30,0,0,0
"""Joy"" Pt. IIsaac Hayes",1973,9,1,30,0,0,0
Sidewalk TalkJellybean Featuring Catherine Buchanan,1985,18,1,18,0,0,0
Dance Little SisterTerence Trent D'Arby,1988,11,1,30,0,0,0
Summer RainBelinda Carlisle,1990,13,1,30,0,0,0
Set U FreePlanet Soul,1995,26,1,26,0,0,0
Raise The RoofLuke Featuring No Good But So Good,1998,20,1,26,0,0,0
Remember WhenAlan Jackson,2003,20,1,29,0,0,0
Say ItTory Lanez,2015,24,1,23,0,0,0
An American TrilogyMickey Newbury,1971,11,1,26,0,0,0
Be With YouThe Bangles,1989,12,1,30,0,0,0
Another Sleepless NightJimmy Clanton,1960,13,1,22,0,0,0
Shut DownThe Beach Boys,1963,13,1,23,0,0,0
So WrongPatrick Simmons,1983,13,1,30,0,0,0
Sister ChristianNight Ranger,1984,24,1,5,0,2,4
SunshineDino,1989,15,1,23,0,0,0
Pop ChampagneJim Jones & Ron Browz Featuring Juelz Santana,2008,20,1,22,0,0,0
Sweet But PsychoAva Max,2018,35,1,10,0,0,3
PeacefulHelen Reddy,1973,17,1,12,0,0,0
Baby That's BackatchaSmokey Robinson,1975,11,1,26,0,0,0
SuspicionsEddie Rabbitt,1979,17,1,13,0,0,0
AthenaThe Who,1982,14,1,28,0,0,0
2 StepUnk,2007,21,1,24,0,0,0
Did You Boogie (With Your Baby)Flash Cadillac And The Continental Kids,1976,14,1,29,0,0,0
Coming HomeCinderella,1989,17,1,20,0,0,0
Out Of My HeadFastball,1999,20,1,20,0,0,0
Big StarKenny Chesney,2003,20,1,28,0,0,0
BrokenSeether Featuring Amy Lee,2004,21,1,20,0,0,0
She Won't Talk To MeLuther Vandross,1989,12,1,30,0,0,0
All-American GirlCarrie Underwood,2008,20,1,27,0,0,0
Almost SummerCelebration featuring Mike Love,1978,12,1,28,0,0,0
State Of the HeartRick Springfield,1985,15,1,22,0,0,0
Pumps And A BumpM.C. Hammer,1994,20,1,26,0,0,0
Act UpCity Girls,2019,21,1,26,0,0,0
(I Wanna) TestifyThe Parliaments,1967,13,1,20,0,0,0
Tell Me A LieSami Jo,1974,14,1,21,0,0,0
Takin' Care Of BusinessBachman-Turner Overdrive,1974,20,1,12,0,0,0
Shaving CreamBenny Bell,1975,11,1,30,0,0,0
That's The WayJo Dee Messina,2000,20,1,25,0,0,0
Some BeachBlake Shelton,2004,20,1,28,0,0,0
99 ProblemsJAY-Z,2004,12,1,30,0,0,0
Power To The PeopleJohn Lennon/Plastic Ono Band Yoko Ono/Plastic Ono Band,1971,9,1,11,0,0,0
ActionFreddy Cannon,1965,9,1,13,0,0,0
RespectableThe Outsiders,1966,8,1,15,0,0,0
Clinging VineBobby Vinton,1964,8,1,17,0,0,0
Ain't Too Proud To BegThe Rolling Stones,1974,10,1,17,0,0,0
Sunday And MeJay & The Americans,1965,8,1,18,0,0,0
A Man Without Love (Quando M'innamoro)Engelbert Humperdinck,1968,9,1,19,0,0,0
Ball Of FireTommy James And The Shondells,1969,8,1,19,0,0,0
Sunshine GirlThe Parade,1967,8,1,20,0,0,0
Do The Funky ChickenRufus Thomas,1970,12,1,28,0,0,0
Ram-Bunk-ShushThe Ventures,1961,9,1,29,0,0,0
Don't BlinkKenny Chesney,2007,20,1,29,0,0,0
Sunday Mornin'Spanky And Our Gang,1968,8,1,30,0,0,0
Come To MeMarv Johnson,1959,15,1,30,0,0,0
Ring The Living BellMelanie,1972,9,1,31,0,0,0
Can This Be RealNatural Four,1974,10,1,31,0,0,0
ChangeLisa Stansfield,1991,20,1,27,0,0,0
Sugar HillAZ,1995,20,1,25,0,0,0
Beautiful MessDiamond Rio,2002,20,1,28,0,0,0
ShatteredThe Rolling Stones,1978,10,1,31,0,0,0
DisappearINXS,1990,20,1,8,0,0,2
Ain't Nothing Like The Real ThingDonny & Marie Osmond,1976,13,1,21,0,0,0
Do You Believe In MagicShaun Cassidy,1978,10,1,31,0,0,0
A Rock 'N' Roll FantasyThe Kinks,1978,11,1,30,0,0,0
Dance Hall DaysWang Chung,1984,22,1,16,0,0,0
Oochie CoochieM.C. Brains,1992,18,1,21,0,0,0
SentimentalDeborah Cox,1995,20,1,27,0,0,0
Better Than MeHinder,2007,20,1,31,0,0,0
Over YouDaughtry,2007,25,1,18,0,0,0
Close To MeEllie Goulding X Diplo Featuring Swae Lee,2018,25,1,24,0,0,0
Please Don't Talk To The LifeguardDiane Ray,1963,9,1,31,0,0,0
Stagger LeeTommy Roe,1971,12,1,25,0,0,0
RoleneMoon Martin,1979,11,1,30,0,0,0
Power Of LoveLaura Branigan,1987,18,1,26,0,0,0
Take A PictureFilter,1999,20,1,12,0,0,0
Outta Control (Remix)50 Cent Featuring Mobb Deep,2005,19,1,6,0,0,2
Smoke Gets In Your EyesBlue Haze,1972,14,1,27,0,0,0
"""Cherry Cherry"" from Hot August NightNeil Diamond",1973,10,1,31,0,0,0
Save Your Kisses For MeBrotherhood Of Man,1976,11,1,27,0,0,0
Shower The PeopleJames Taylor,1976,16,1,22,0,0,0
Save It For A Rainy DayStephen Bishop,1976,15,1,22,0,0,0
Do RightPaul Davis,1980,14,1,23,0,0,0
StrutSheena Easton,1984,25,1,7,0,0,3
Sweet SixteenBilly Idol,1987,14,1,20,0,0,0
Angel BabyAngelica,1991,20,1,29,0,0,0
RegretNew Order,1993,19,1,28,0,0,0
Sunday MorningMaroon 5,2005,20,1,31,0,0,0
AdornMiguel,2012,33,1,17,0,0,0
Snatching It BackClarence Carter,1969,10,1,31,0,0,0
(Do The) Push And Pull Part IRufus Thomas,1970,13,1,25,0,0,0
Baby I'm Burnin'Dolly Parton,1978,14,1,25,0,0,0
AnimalDef Leppard,1987,19,1,19,0,0,0
Soul ProviderMichael Bolton,1989,17,1,17,0,0,0
Somebody Like YouKeith Urban,2002,20,1,23,0,0,0
Do It AgainSteely Dan,1972,17,1,6,0,0,4
Bless The Broken RoadRascal Flatts,2004,20,1,29,0,0,0
TaxiHarry Chapin,1972,16,1,24,0,0,0
Behind Closed DoorsCharlie Rich,1973,19,1,15,0,0,0
(Don't Fear) The ReaperBlue Oyster Cult,1976,20,1,12,0,0,0
Black BettyRam Jam,1977,17,1,18,0,0,0
Smooth CriminalAlien Ant Farm,2001,20,1,23,0,0,0
RadioactiveThe Firm,1985,15,1,28,0,0,0
"Shoot'em Up, BabyAndy Kim",1968,10,1,31,0,0,0
Temptation EyesThe Grass Roots,1970,18,1,15,0,0,0
Dirty WaterThe Standells,1966,16,1,11,0,0,0
Open The Door To Your HeartDarrell Banks,1966,12,1,27,0,0,0
Reach Out For MeDionne Warwick,1964,8,1,20,0,0,0
Tear DropSanto & Johnny,1959,11,1,23,0,0,0
SeparatedAvant,2000,20,1,23,0,0,0
Sitting In The ParkBilly Stewart,1965,8,1,24,0,0,0
All The Kings HorsesAretha Franklin,1972,8,1,26,0,0,0
Big IronMarty Robbins,1960,10,1,26,0,0,0
AnythingJaheim Featuring Next,2002,20,1,28,0,0,0
Right Thru MeNicki Minaj,2010,19,1,26,0,0,0
Breaking All The RulesShe Moves,1997,20,1,32,0,0,0
ChainedMarvin Gaye,1968,10,1,32,0,0,0
Small BeginningsFlash,1972,12,1,29,0,0,0
SometimesFacts Of Life,1977,10,1,31,0,0,0
After The Glitter FadesStevie Nicks,1982,11,1,32,0,0,0
Stick AroundJulian Lennon,1986,13,1,32,0,0,0
Sugar DaddyThompson Twins,1989,12,1,28,0,0,0
Pretty GirlJon B,1995,20,1,25,0,0,0
Anything3T,1995,33,1,15,0,0,0
BrokenheartedKarmin,2012,22,1,16,0,0,0
Second Hand RoseBarbra Streisand,1965,9,1,32,0,0,0
"Baby, Come BackThe Equals",1968,9,1,32,0,0,0
Slow RideFoghat,1975,17,1,20,0,0,0
So You Win AgainHot Chocolate,1977,11,1,31,0,0,0
Stronger Than BeforeCarole Bayer Sager,1981,13,1,30,0,0,0
AlwaysErasure,1994,23,1,20,0,0,0
Ain't Nothing 'Bout YouBrooks & Dunn,2001,20,1,25,0,0,0
Soak Up The SunSheryl Crow,2002,29,1,17,0,0,0
American SoldierToby Keith,2003,20,1,28,0,0,0
50 Ways To Say GoodbyeTrain,2012,20,1,20,0,0,0
Band Of GoldMel Carter,1966,8,1,32,0,0,0
"Daddy Could Swear, I DeclareGladys Knight And The Pips",1973,15,1,19,0,0,0
Still Right Here In My HeartPure Prairie League,1981,14,1,28,0,0,0
Say WhatJesse Winchester,1981,12,1,32,0,0,0
Another LoverGiant Steps,1988,22,1,13,0,0,0
"All I'm Missing Is YouGlenn Medeiros Featuring Ray Parker, Jr.",1990,13,1,32,0,0,0
AntidoteTravis Scott,2015,26,1,16,0,0,0
PrincessFrank Gari,1961,10,1,30,0,0,0
Come And Get These MemoriesMartha & The Vandellas,1963,16,1,29,0,0,0
Somewhere In Your HeartFrank Sinatra,1964,10,1,32,0,0,0
Cook With HoneyJudy Collins,1973,11,1,32,0,0,0
Rocky Mountain WayJoe Walsh,1973,15,1,23,0,0,0
"Another Park, Another SundayThe Doobie Brothers",1974,10,1,32,0,0,0
StormySantana,1979,10,1,32,0,0,0
Don't Let GoIsaac Hayes,1979,21,1,18,0,0,0
PersonallyKarla Bonoff,1982,18,1,19,0,0,0
Sleeping SatelliteTasmin Archer,1993,15,1,32,0,0,0
Ooh ChildDino,1993,20,1,27,0,0,0
Stand By MeMickey Gilley,1980,18,1,22,0,0,0
Diseasematchbox twenty,2002,20,1,29,0,0,0
Chains Of LoveErasure,1988,20,1,12,0,0,0
Don't Close Your EyesKIX,1989,23,1,11,0,0,0
Running Back To YouVanessa Williams,1991,21,1,18,0,0,0
Party Up (Up In Here)DMX,2000,21,1,27,0,0,0
Some CutTrillville Featuring Cutty,2004,25,1,14,0,0,0
Same GirlR. Kelly Duet With Usher,2007,20,1,20,0,0,0
Pennies From HeavenThe Skyliners,1960,13,1,24,0,0,0
PromisesEric Clapton And His Band,1978,18,1,9,0,0,2
CelebrityBrad Paisley,2003,20,1,31,0,0,0
Deeper Shade Of SoulUrban Dance Squad,1990,18,1,21,0,0,0
Ordinary PeopleJohn Legend,2005,20,1,24,0,0,0
Dey KnowShawty Lo,2008,17,1,31,0,0,0
Changes2Pac,1998,19,1,32,0,0,0
One KissCalvin Harris & Dua Lipa,2018,21,1,26,0,0,0
Come & Talk To MeJodeci,1992,28,1,11,0,0,0
Stuntin' Like My DaddyBirdman & Lil Wayne,2006,20,1,21,0,0,0
(He's My) DreamboatConnie Francis,1961,9,1,14,0,0,0
Such A NightElvis Presley With The Jordanaires,1964,8,1,16,0,0,0
Send Me The Pillow You Dream OnJohnny Tillotson,1962,9,1,17,0,0,0
Big JohnThe Shirelles,1961,9,1,21,0,0,0
Ain't That A Shame!The 4 Seasons,1963,9,1,22,0,0,0
Stand!Sly & The Family Stone,1969,8,1,22,0,0,0
Beer Never Broke My HeartLuke Combs,2019,21,1,21,0,0,0
"Oo Wee Baby, I Love YouFred Hughes",1965,10,1,23,0,0,0
SheTommy James And The Shondells,1969,8,1,23,0,0,0
"Don't Be Afraid, Little Darlin'Steve Lawrence",1963,9,1,26,0,0,0
Celebrate YouthRick Springfield,1985,11,1,26,0,0,0
Don't Take It So HardPaul Revere & The Raiders Featuring Mark Lindsay,1968,9,1,27,0,0,0
Along Came JonesRay Stevens,1969,8,1,27,0,0,0
AloneThe 4 Seasons,1964,9,1,28,0,0,0
One Hit (To The Body)The Rolling Stones,1986,11,1,28,0,0,0
Deadbeat ClubThe B-52s,1990,11,1,30,0,0,0
So Into YouTamia,1998,20,1,30,0,0,0
Beans In My EarsThe Serendipity Singers,1964,8,1,30,0,0,0
Surfer's StompThe Marketts,1962,9,1,31,0,0,0
Come On Little AngelThe Belmonts,1962,14,1,28,0,0,0
Put That Woman FirstJaheim,2003,20,1,20,0,0,0
Doggone RightSmokey Robinson & The Miracles,1969,8,1,32,0,0,0
Always TogetherAl Martino,1964,8,1,33,0,0,0
"Sweet Cream Ladies, Forward MarchThe Box Tops",1968,15,1,28,0,0,0
Cold TurkeyPlastic Ono Band,1969,12,1,30,0,0,0
20-75Willie Mitchell,1964,10,1,31,0,0,0
The Ballad Of PaladinDuane Eddy,1962,9,1,33,0,0,0
Battle Hymn Of The RepublicAndy Williams with the St. Charles Borromeo Choir,1968,13,1,33,0,0,0
Cherry BabyStarz,1977,10,1,33,0,0,0
Cheeseburger In ParadiseJimmy Buffett,1978,11,1,32,0,0,0
Answering MachineRupert Holmes,1980,11,1,32,0,0,0
OOmarion,2005,20,1,27,0,0,0
Rusty BellsBrenda Lee,1965,9,1,33,0,0,0
Don't Let Me Be MisunderstoodSanta Esmeralda Starring Leroy Gomez,1977,19,1,15,0,0,0
As We LayShirley Murdock,1987,18,1,23,0,0,0
Smoking GunThe Robert Cray Band,1987,14,1,22,0,0,0
Dirty Cash (Money Talks)The Adventures Of Stevie V,1990,19,1,25,0,0,0
Blue Eyes Crying In The RainWillie Nelson,1975,18,1,21,0,0,0
She's Not ThereSantana,1977,14,1,27,0,0,0
One In A Million YouLarry Graham,1980,20,1,9,0,0,2
Cuddly Toy (Feel For Me)Roachford,1989,14,1,25,0,0,0
Break It Down AgainTears For Fears,1993,20,1,25,0,0,0
Bad Luck (Part 1)Harold Melvin And The Blue Notes,1975,17,1,15,0,0,0
RockyAustin Roberts,1975,17,1,9,0,0,2
Such A WomanTycoon,1979,13,1,26,0,0,0
Somebody's Knockin'Terri Gibbs,1981,22,1,13,0,0,0
Take Me Home TonightEddie Money,1986,23,1,4,0,2,4
ShiloNeil Diamond,1970,14,1,24,0,0,0
PopcornHot Butter,1972,18,1,9,0,0,4
Summer (The First Time)Bobby Goldsboro,1973,14,1,21,0,0,0
Talk It OverGrayson Hugh,1989,18,1,19,0,0,0
Red Dirt RoadBrooks & Dunn,2003,20,1,25,0,0,0
Should've Never Let You GoNeil Sedaka & Dara Sedaka,1980,19,1,19,0,0,0
Always Something There To Remind MeNaked Eyes,1983,22,1,8,0,0,2
Sincerely YoursSweet Sensation (With Romeo J.D.),1989,18,1,14,0,0,0
StingyGinuwine,2002,20,1,33,0,0,0
But You're MineSonny & Cher,1965,8,1,15,0,0,0
AmorBen E. King,1961,10,1,18,0,0,0
AlwaysSammy Turner,1959,12,1,19,0,0,0
"Do The ClamElvis Presley With The Jordanaires, Jubilee Four & Carol Lombard Trio",1965,8,1,21,0,0,0
Set Me FreeThe Kinks,1965,8,1,23,0,0,0
Butterfly BabyBobby Rydell,1963,9,1,23,0,0,0
Remember ThenThe Earls,1962,9,1,24,0,0,0
Summer NightsMarianne Faithfull,1965,9,1,24,0,0,0
Ask The LonelyFour Tops,1965,8,1,24,0,0,0
Can't Stop Loving YouTom Jones,1970,8,1,25,0,0,0
Bust OutThe Busters,1963,10,1,25,0,0,0
CrossroadsCream,1969,8,1,28,0,0,0
Sugar DumplingSam Cooke,1965,9,1,32,0,0,0
